NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
834,에이엔피,2520,하락25,-0.98%,500,1023,40581,0.00,78339,-2.32,N/A
835,엔에이치스팩19호,1990,0,0.00%,100,1021,51290,2.51,0,165.83,0.62
836,두올,3085,하락25,-0.80%,2500,1020,33067,0.78,47778,14.02,3.78
837,신영와코루,11280,하락120,-1.05%,500,1015,9000,26.34,79,4.32,6.86
838,신한 S&P500 VIX S/T 선물 ETN D,16860,하락105,-0.62%,0,1012,6000,0.00,10425,N/A,N/A
839,일신석재,1303,하락11,-0.84%,500,1009,77457,2.50,53954,43.43,4.37
840,QV KIS CD금리투자 ETN,50115,상승20,+0.04%,0,1002,2000,0.00,1,N/A,N/A
841,메리츠 KIS CD금리투자 ETN,50095,0,0.00%,0,1002,2000,0.00,0,N/A,N/A
842,기신정기,3425,하락60,-1.72%,500,1000,29200,63.77,16054,14.39,3.44
843,대현,2255,하락15,-0.66%,500,999,44282,7.06,20699,3.93,10.97
844,KODEX 미국S&P500선물(H),19665,상승10,+0.05%,0,993,5050,0.88,32591,N/A,N/A
845,콤텍시스템,815,하락6,-0.73%,500,987,121051,4.16,173407,4.05,16.63
846,HANARO 200 TOP10,8465,상승5,+0.06%,0,986,11650,21.46,601,N/A,N/A
847,삼성공조,12040,하락120,-0.99%,500,978,8126,2.64,14469,2.39,17.22
848,ACE 국고채10년,87765,하락255,-0.29%,0,977,1113,0.10,2708,N/A,N/A
849,HL D&I,2580,하락15,-0.58%,5000,977,37859,1.78,3316,4.84,5.95
850,지엠비코리아,5110,하락30,-0.58%,500,975,19072,55.45,8966,8.23,4.75
851,고려산업,3905,하락20,-0.51%,1000,974,24939,4.18,345721,139.46,0.65
852,국제약품,4590,하락25,-0.54%,1000,971,21160,2.52,14861,27.32,4.99
853,KC코트렐,2800,하락55,-1.93%,500,969,34600,0.91,1017984,-2.75,-41.86
854,인팩,9630,하락360,-3.60%,500,963,10000,2.09,37402,7.30,12.28
855,TRUE 인버스 2X 코스닥 150 선물 ETN,9510,상승290,+3.15%,0,951,10000,0.00,407143,N/A,N/A
856,하이스틸,4705,하락135,-2.79%,500,950,20191,2.02,301985,8.20,8.03
857,크라운해태홀딩스,6350,하락30,-0.47%,500,943,14847,2.14,1318,11.74,2.89
858,KODEX 국고채30년액티브,101580,하락570,-0.56%,0,941,926,0.18,12219,N/A,N/A
859,아모레G우,14470,하락120,-0.82%,500,932,6444,40.48,3391,22.33,N/A
860,DRB동일,4675,상승15,+0.32%,500,932,19930,0.42,1089,60.71,0.42
861,대원전선,1292,상승27,+2.13%,500,930,71965,2.85,1558202,71.78,1.51
862,한국프랜지,3050,하락15,-0.49%,1000,929,30450,4.33,20252,2.79,12.16
863,한신공영,7990,하락110,-1.36%,5000,924,11571,8.06,10191,2.03,6.49
864,대동전자,8800,0,0.00%,500,923,10490,41.12,6081,18.88,5.13
865,새론오토모티브,4795,상승5,+0.10%,500,921,19200,66.56,4085,-15.47,-2.54
866,SH에너지화학,827,하락11,-1.31%,500,919,111134,34.70,147462,48.65,1.99
867,남광토건,9300,하락30,-0.32%,5000,914,9833,0.82,1802,4.73,19.85
868,신한 레버리지 코스닥 150 선물 ETN,36435,하락640,-1.73%,0,911,2500,0.00,2,N/A,N/A
869,사조씨푸드,5270,하락20,-0.38%,1000,907,17219,2.46,7891,10.93,3.54
870,삼호개발,3625,0,0.00%,500,906,25000,4.53,3243,15.30,2.70
871,대호에이엘,1619,하락33,-2.00%,500,903,55800,3.08,120571,14.20,8.19
872,명문제약,2650,하락40,-1.49%,500,900,33953,1.39,18272,11.42,9.27
873,한솔홈데코,1115,하락19,-1.68%,1000,898,80565,3.51,107363,-18.58,-3.11
874,텔코웨어,9240,상승20,+0.22%,500,897,9703,1.01,613,23.16,3.50
875,이건산업,8180,하락60,-0.73%,5000,896,10953,6.62,14610,16.73,2.74
876,신한 레버리지 은 선물 ETN(H),8920,상승280,+3.24%,0,892,10000,0.00,27320,N/A,N/A
877,TIGER KRX바이오K-뉴딜,6095,하락25,-0.41%,0,887,14550,0.50,77711,N/A,N/A
878,KC그린홀딩스,3950,하락125,-3.07%,500,886,22435,1.38,59157,-29.26,-1.86
879,다스코,4565,하락45,-0.98%,500,885,19397,3.47,10708,53.71,1.16
880,마니커,1390,하락4,-0.29%,500,883,63511,2.11,42654,86.88,2.04
881,KBSTAR Fn5G테크,8250,하락65,-0.78%,0,883,10700,0.02,1261,N/A,N/A
882,마스턴프리미어리츠,3310,하락25,-0.75%,1000,880,26580,0.50,6019,7.88,N/A
883,이화산업,31400,상승5550,+21.47%,5000,879,2800,0.23,537618,1652.63,0.04
884,한일철강,3280,상승25,+0.77%,500,876,26697,1.05,26252,-58.57,-0.87
885,DSR,5460,하락40,-0.73%,500,874,16000,2.14,6534,3.64,12.80
886,혜인,6860,하락80,-1.15%,500,872,12713,4.38,76157,-42.09,-1.89
887,동방아그로,6400,하락10,-0.16%,500,872,13618,31.09,4059,12.85,4.57
888,진양산업,6700,하락50,-0.74%,500,871,13000,0.92,29781,14.19,12.43
889,신송홀딩스,7310,하락160,-2.14%,500,865,11829,1.91,55888,57.56,1.58
890,동일고무벨트,6220,하락10,-0.16%,500,865,13900,2.19,3219,11.09,3.74
891,TIGER 미국다우존스30,22275,상승30,+0.13%,0,864,3880,0.14,4529,N/A,N/A
892,KODEX 은선물(H),4965,상승45,+0.91%,0,864,17400,0.01,110567,N/A,N/A
893,솔루스첨단소재1우,10210,하락220,-2.11%,100,863,8455,12.22,2352,-39.42,N/A
894,한솔로지스틱스,3140,하락75,-2.33%,500,863,27477,3.73,72333,3.56,26.80
895,코스맥스비티아이,8920,하락30,-0.34%,500,857,9604,3.93,2046,-13.12,-2.14
896,케이비아이동국실업,854,상승56,+7.02%,500,856,100273,0.32,2630546,18.57,2.43
897,SK우,151000,하락800,-0.53%,200,855,566,1.08,308,10.27,N/A
898,TIGER 200선물레버리지,12560,하락55,-0.44%,0,854,6800,3.41,78893,N/A,N/A
899,보해양조,613,하락2,-0.33%,500,853,139120,1.32,60637,-30.65,-3.39
900,TIGER 200 건설,3460,상승5,+0.14%,0,847,24480,5.04,395602,N/A,N/A
901,화천기공,38600,하락500,-1.28%,5000,849,2200,9.10,1096,2.27,11.47
902,KH 필룩스,442,0,0.00%,500,843,190713,5.90,0,-0.72,-21.61
903,한창제지,1410,하락4,-0.28%,500,841,59667,0.74,13114,67.14,1.15
904,KODEX 미국메타버스나스닥액티브,6995,0,0.00%,0,836,11950,0.94,4462,N/A,N/A
905,상상인증권,770,하락3,-0.39%,1000,834,108337,0.54,23135,22.00,1.76
906,조비,16060,상승390,+2.49%,5000,834,5192,1.40,13392,9.65,15.06
