NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
152,동서,"19,200",하락110,-0.57%,500,"19,142","99,700",3.35,"8,305",11.40,11.33
153,GS건설,"22,050",상승200,+0.92%,"5,000","18,871","85,581",24.86,"132,094",5.56,7.18
154,효성첨단소재,"417,500","하락7,000",-1.65%,"5,000","18,704","4,480",7.54,"8,073",14.92,19.11
155,TIGER 미국S&P500,"13,820",상승40,+0.29%,0,"18,657","135,000",1.05,"208,971",N/A,N/A
156,CJ대한통운,"79,400",상승100,+0.13%,"5,000","18,113","22,812",16.33,"7,508",9.98,5.09
157,오뚜기,"451,000","상승1,000",+0.22%,"5,000","18,075","4,008",11.42,304,6.17,16.53
158,효성티앤씨,"417,000","하락6,500",-1.53%,"5,000","18,046","4,328",8.22,"4,168",155.71,0.88
159,LIG넥스원,"81,000","상승2,800",+3.58%,"5,000","17,820","22,000",12.95,"159,600",14.50,14.48
160,현대일렉트릭,"48,900","하락1,200",-2.40%,"5,000","17,627","36,047",16.90,"57,860",10.85,22.13
161,덴티움,"159,000","상승6,000",+3.92%,500,"17,599","11,069",24.13,"77,645",20.45,25.86
162,현대두산인프라코어,"8,880",하락80,-0.89%,"1,000","17,561","197,763",16.25,"459,503",7.64,15.29
163,대우건설,"4,220",상승5,+0.12%,"5,000","17,539","415,623",11.92,"148,725",3.48,14.55
164,JB금융지주,"8,880",상승20,+0.23%,"5,000","17,492","196,983",33.26,"51,610",2.91,13.76
165,한전KPS,"38,000",상승900,+2.43%,200,"17,100","45,000",7.76,"148,306",17.07,8.61
166,LX세미콘,"103,500","하락2,700",-2.54%,500,"16,834","16,264",26.79,"52,021",7.20,26.70
167,현대위아,"61,500",하락800,-1.28%,"5,000","16,725","27,195",8.56,"46,895",25.57,1.99
168,두산,"99,800","상승1,000",+1.01%,"5,000","16,491","16,524",8.32,"22,641",-3.07,-36.00
169,KG모빌리티,"8,760",0,0.00%,"5,000","16,377","186,956",24.60,0,-8.18,-12.10
170,솔루스첨단소재,"45,200",하락500,-1.09%,100,"15,870","35,111",6.17,"25,790",-174.52,-2.68
171,TIGER 미국테크TOP10 INDXX,"11,000",상승20,+0.18%,0,"15,824","143,850",0.40,"179,780",N/A,N/A
172,하이트진로,"22,500",상승300,+1.35%,"5,000","15,780","70,134",10.14,"57,588",18.43,7.72
173,롯데정밀화학,"60,700",하락600,-0.98%,"5,000","15,661","25,800",21.15,"16,559",10.71,6.51
174,TIGER 미국필라델피아반도체나스닥,"10,800",하락65,-0.60%,0,"15,557","144,050",0.67,"284,835",N/A,N/A
175,녹십자,"131,100","상승1,700",+1.31%,"5,000","15,321","11,687",21.73,"9,836",23.41,5.03
176,KODEX 23-12 은행채(AA+이상)액티브,"10,275",0,0.00%,0,"15,268","148,590",0.00,"32,884",N/A,N/A
177,에스엘,"32,650",하락350,-1.06%,500,"15,165","46,449",12.85,"26,379",9.92,9.87
178,롯데칠성,"162,400","상승1,200",+0.74%,500,"15,069","9,279",12.20,"5,160",12.72,9.11
179,TIGER MSCI Korea TR,"14,185",하락5,-0.04%,0,"14,951","105,400",0.00,"127,519",N/A,N/A
