0,1,2,3,4,5,6,7,8,9,10,11
52,KODEX 200,"33,825",하락50,-0.15%,0,"60,733","179,550",3.98,"3,210,226",N/A,N/A
53,SK바이오사이언스,"78,500",하락100,-0.13%,500,"60,275","76,784",4.14,"402,034",49.19,N/A
54,한국조선해양,"84,100",상승300,+0.36%,"5,000","59,520","70,773",20.58,"259,445",-27.44,-2.22
55,넷마블,"69,000","하락1,900",-2.68%,100,"59,308","85,954",22.30,"201,296",-7.24,-14.56
56,LG디스플레이,"16,350",상승100,+0.62%,"5,000","58,503","357,816",20.27,"2,838,129",-1.90,-26.71
57,SK아이이테크놀로지,"81,900","하락2,100",-2.50%,"1,000","58,393","71,298",7.23,"732,968",-196.88,-1.35
58,삼성엔지니어링,"29,700","하락1,050",-3.41%,"5,000","58,212","196,000",46.49,"1,116,530",8.76,28.32
59,DB손해보험,"81,700","상승3,400",+4.34%,500,"57,844","70,800",44.10,"196,557",5.88,16.45
60,SK스퀘어,"40,600",상승50,+0.12%,100,"57,436","141,468",42.22,"403,552",22.11,1.55
61,F&F,"149,400","상승6,300",+4.40%,100,"57,231","38,307",12.57,"280,033",12.96,60.40
62,코스모신소재,"183,800",상승100,+0.05%,"1,000","56,336","30,651",7.20,"466,340",201.76,12.13
63,SK바이오팜,"71,600","하락1,600",-2.19%,500,"56,072","78,313",6.55,"176,688",-40.22,-36.66
64,한화에어로스페이스,"108,900","하락1,400",-1.27%,"5,000","55,136","50,630",33.35,"566,686",27.45,6.98
65,오리온,"138,000","상승3,100",+2.30%,500,"54,560","39,536",41.35,"79,161",13.91,16.47
66,한국항공우주,"55,100","상승1,200",+2.23%,"5,000","53,709","97,475",26.50,"1,665,694",45.35,8.78
67,포스코인터내셔널,"30,500",상승200,+0.66%,"5,000","53,656","175,923",5.46,"20,108,040",6.38,15.79
68,현대제철,"37,600",상승650,+1.76%,"5,000","50,176","133,446",24.30,"968,827",4.93,5.56
69,맥쿼리인프라,"12,390",하락30,-0.24%,0,"50,160","404,846",13.85,"341,873",N/A,N/A
70,삼성중공업,"5,680",상승20,+0.35%,"1,000","49,984","880,000",15.66,"4,624,356",-8.07,-16.08
71,LG유플러스,"11,240",하락30,-0.27%,"5,000","49,075","436,611",38.85,"488,794",7.40,8.37
72,CJ제일제당,"320,000","상승1,000",+0.31%,"5,000","48,173","15,054",24.30,"24,474",8.80,9.26
73,한온시스템,"9,020",하락180,-1.96%,100,"48,149","533,800",16.34,"1,015,440",237.37,0.89
74,두산밥캣,"47,500",상승50,+0.11%,500,"47,618","100,249",34.79,"262,369",7.39,13.78
75,TIGER CD금리투자KIS(합성),"52,220",상승10,+0.02%,0,"47,448","90,862",0.00,"132,484",N/A,N/A
76,HD현대,"59,900",하락500,-0.83%,"1,000","47,317","78,993",18.73,"111,780",3.36,20.43
77,한국타이어앤테크놀로지,"35,750",상승250,+0.70%,500,"44,285","123,875",37.51,"411,137",6.42,8.14
78,금양,"75,800","하락1,800",-2.32%,500,"44,002","58,050",5.14,"1,453,421",-138.07,-24.34
79,현대건설,"39,350",하락200,-0.51%,"5,000","43,818","111,356",24.82,"483,324",10.82,5.49
80,유한양행,"57,000","하락1,100",-1.89%,"1,000","43,684","76,639",19.81,"336,177",46.61,4.86
81,미래에셋증권,"7,000",상승120,+1.74%,"5,000","42,372","605,316",12.98,"853,753",8.43,6.17
82,강원랜드,"19,710",상승230,+1.18%,500,"42,168","213,940",17.88,"769,820",36.50,3.47
83,금호석유,"140,100","상승1,600",+1.16%,"5,000","41,069","29,314",21.25,"84,633",4.52,19.11
84,SKC,"108,000","하락1,400",-1.28%,"5,000","40,898","37,868",11.40,"285,711",-59.83,-3.67
85,한미약품,"323,500","하락3,000",-0.92%,"2,500","40,639","12,562",16.63,"44,526",49.08,9.89
86,코웨이,"51,500",상승500,+0.98%,500,"38,007","73,800",61.31,"161,364",8.30,21.72
87,GS,"40,700",0,0.00%,"5,000","37,817","92,915",25.01,"100,394",1.80,18.86
88,메리츠증권,"6,100",0,0.00%,"1,000","36,184","593,181",14.58,0,5.11,15.26
89,KODEX KOFR금리액티브(합성),"102,710",상승15,+0.01%,0,"35,907","34,960",0.00,"289,372",N/A,N/A
90,현대차2우B,"99,000","상승1,000",+1.02%,"5,000","35,759","36,121",62.69,"91,854",3.72,N/A
91,삼성카드,"30,250",하락50,-0.17%,"5,000","35,047","115,859",6.69,"63,994",5.63,8.08
92,아모레G,"41,800","상승2,700",+6.91%,500,"34,468","82,458",10.08,"598,196",64.51,1.87
93,LG화학우,"442,000","상승31,000",+7.54%,"5,000","33,984","7,689",66.38,"259,113",18.75,N/A
94,호텔신라,"86,500","상승3,000",+3.59%,"5,000","33,950","39,248",19.83,"625,881",-68.98,-8.99
95,CJ,"114,900","상승3,700",+3.33%,"5,000","33,524","29,177",19.15,"145,398",20.28,3.94
96,팬오션,"6,260",상승160,+2.62%,"1,000","33,464","534,570",14.75,"6,339,606",4.94,16.74
97,씨에스윈드,"78,700",하락500,-0.63%,500,"33,189","42,171",11.84,"1,092,842","-3,421.74",-0.11
98,현대오토에버,"120,400","하락4,700",-3.76%,500,"33,018","27,424",3.55,"126,558",28.98,8.00
99,한국금융지주,"56,900",상승100,+0.18%,"5,000","31,708","55,726",38.42,"127,712",5.50,8.45
100,한미사이언스,"45,300",상승100,+0.22%,500,"31,690","69,957",0.61,"193,753",45.80,9.78
101,현대해상,"35,100",상승900,+2.63%,500,"31,379","89,400",37.75,"381,787",5.46,12.44
102,BGF리테일,"180,100",상승600,+0.33%,"1,000","31,128","17,284",34.04,"25,981",16.08,21.85
103,NH투자증권,"9,370",상승20,+0.21%,"5,000","31,077","331,666",12.26,"345,377",10.62,4.32
104,현대로템,"28,350",상승200,+0.71%,"5,000","30,942","109,142",10.60,"2,004,337",15.65,14.06
105,롯데에너지머티리얼즈,"66,900","하락1,300",-1.91%,500,"30,848","46,111",8.05,"430,789",70.42,3.58
106,DB하이텍,"69,300","하락1,500",-2.12%,"5,000","30,768","44,399",25.14,"1,012,000",5.52,40.73
107,삼성증권,"34,450",상승50,+0.15%,"5,000","30,764","89,300",28.47,"230,307",7.28,6.88
108,쌍용C&E,"6,030",상승10,+0.17%,100,"30,383","503,860",2.74,"462,900",23.74,7.87
109,롯데지주,"28,950",하락200,-0.69%,200,"30,371","104,909",8.69,"124,961",17.94,2.42
110,대우조선해양,"28,050",하락200,-0.71%,"5,000","30,095","107,291",3.72,"565,050",-1.72,-117.79
111,LS,"92,900",하락200,-0.21%,"5,000","29,914","32,200",13.31,"271,256",6.62,12.00
112,한전기술,"78,100","하락6,100",-7.24%,200,"29,850","38,220",4.09,"742,401",166.17,3.40
113,TIGER 차이나전기차SOLACTIVE,"11,690",상승105,+0.91%,0,"29,604","253,240",0.78,"5,798,400",N/A,N/A
114,GS리테일,"27,700",상승300,+1.09%,"1,000","29,007","104,718",8.89,"212,864",71.76,1.00
115,현대미포조선,"72,500",하락700,-0.96%,"5,000","28,958","39,942",20.40,"199,424",-64.96,-2.07
116,한진칼,"43,200",상승100,+0.23%,"2,500","28,841","66,762",16.07,"53,787",4.25,33.64
117,키움증권,"107,500",상승400,+0.37%,"5,000","28,186","26,220",25.12,"44,809",6.15,11.50
118,한화시스템,"14,870",상승30,+0.20%,"5,000","28,092","188,919",4.11,"1,156,797",-36.72,-3.63
119,이마트,"100,500",상승500,+0.50%,"5,000","28,015","27,876",31.34,"79,687",2.72,9.59
120,OCI,"114,400",하락200,-0.17%,"5,000","27,284","23,849",17.51,"294,285",3.10,25.21
121,한솔케미칼,"233,500","하락3,000",-1.27%,"5,000","26,468","11,335",40.64,"52,306",17.06,21.36
122,KODEX 종합채권(AA-이상)액티브,"105,615",하락20,-0.02%,0,"26,130","24,741",0.03,"10,923",N/A,N/A
123,코스모화학,"73,600",0,0.00%,"1,000","25,766","35,008",8.09,"2,750,953",219.70,6.13
124,동원산업,"51,500",0,0.00%,"1,000","25,741","49,983",2.72,"25,845",6.51,8.53
125,한국가스공사,"27,300",하락550,-1.97%,"5,000","25,201","92,313",8.28,"248,160",1.69,15.67
126,서울가스,"487,500","하락6,500",-1.32%,"5,000","24,375","5,000",4.57,"18,999",137.87,1.70
127,롯데쇼핑,"83,300",상승600,+0.73%,"5,000","23,565","28,289",11.81,"46,399",-7.26,-3.30
128,KODEX 200선물인버스2X,"2,620",상승10,+0.38%,0,"23,294","889,100",1.91,"86,479,508",N/A,N/A
129,현대차우,"96,600",상승600,+0.63%,"5,000","23,293","24,113",59.83,"50,571",3.63,N/A
130,농심,"380,000","상승2,000",+0.53%,"5,000","23,114","6,083",16.23,"9,313",19.90,5.17
131,에스디바이오센서,"21,800",상승100,+0.46%,500,"22,771","104,452",14.90,"316,850",2.47,35.30
132,TIGER 미국나스닥100,"77,240",상승445,+0.58%,0,"22,376","28,970",0.27,"103,562",N/A,N/A
133,제일기획,"19,290",하락120,-0.62%,200,"22,191","115,041",32.61,"411,553",11.45,16.64
134,두산퓨얼셀,"33,650",하락450,-1.32%,100,"22,039","65,494",16.24,"462,559",715.96,0.74
135,HL만도,"46,900",하락900,-1.88%,"1,000","22,023","46,957",22.87,"323,031",22.41,4.78
136,BNK금융지주,"6,710",하락20,-0.30%,"5,000","21,870","325,935",35.58,"754,758",2.70,8.43
137,휠라홀딩스,"35,450",하락300,-0.84%,"1,000","21,537","60,752",45.94,"194,425",6.27,19.71
138,한화생명,"2,460",상승10,+0.41%,"5,000","21,366","868,530",7.92,"1,260,197",2.91,9.05
139,대한전선,"1,716",상승12,+0.70%,100,"21,355","1,244,473",2.43,"74,891,913",95.33,3.32
140,신세계,"215,000","상승4,500",+2.14%,"5,000","21,167","9,845",18.33,"98,018",5.21,10.34
141,에스원,"55,600",하락900,-1.59%,500,"21,128","37,999",54.31,"64,011",13.99,10.19
142,대성홀딩스,"130,800",하락600,-0.46%,"1,000","21,045","16,089",6.50,"29,265",581.33,0.76
143,KODEX 200TR,"11,375",하락30,-0.26%,0,"20,799","182,850",1.56,"690,587",N/A,N/A
144,TIGER 200,"33,850",하락55,-0.16%,0,"20,750","61,300",0.94,"936,275",N/A,N/A
145,삼천리,"508,000","하락7,000",-1.36%,"5,000","20,600","4,055",15.02,"15,010",41.82,3.58
146,영원무역,"45,000",상승550,+1.24%,500,"19,940","44,311",30.30,"81,150",2.96,26.80
147,한화,"26,250",하락150,-0.57%,"5,000","19,677","74,959",17.21,"155,924",1.96,24.47
148,KCC,"220,000","하락3,000",-1.35%,"5,000","19,550","8,886",13.19,"20,748",57.73,0.67
149,KODEX 레버리지,"16,465",하락55,-0.33%,0,"19,503","118,450",1.38,"14,912,140",N/A,N/A
150,한미반도체,"20,000",하락100,-0.50%,100,"19,468","97,339",5.65,"1,961,328",21.41,25.04
151,효성첨단소재,"432,000","하락8,000",-1.82%,"5,000","19,353","4,480",7.94,"39,356",15.44,19.11
152,동서,"19,300",하락100,-0.52%,500,"19,242","99,700",3.35,"64,563",11.46,11.33
153,LS ELECTRIC,"63,300",하락200,-0.31%,"5,000","18,990","30,000",13.97,"134,765",21.03,5.95
